0	No Law	No restrictions; candidate for Amber Zone status
1	Low Law	Poison gas, explosives, undetectable weapons, weapons or mass destruction
2	Low Law	Portable energy weapons (except ship-mounted weapons)
3	Low Law	Heavy weapons
4	Medium Law	Light assault weapons and submachine guns
5	Medium Law	Personal concealable weapons
6	Medium Law	All firearms except shotguns and stunners; carrying weapons discouraged
7	High Law	Shotguns
8	High Law	All bladed weapons, stunners
9	High Law	Any weapons outside one's residence; candidate for Amber Zone status
10	Extreme Law	Any weapons allowed at all; candidate for Amber Zone status
